TimeStamp;Hue;Brightness
1278734171468482;326;100
1278734204784636;326;100
1278734238110597;326;100
1278734271435751;326;100
1278734304759944;327;100
1278734338084597;326;100
1278734371413597;326;100
1278734404742405;325;100
1278734438115213;325;100
1278734471389020;326;100
1278734504706213;326;100
1278734538028636;326;100
1278734571362866;325;100
1278734604672059;325;100
1278734638006136;325;100
1278734671331213;326;100
1278734704651289;327;100
1278734737974943;328;100
1278734771299482;326;100
1278734804622597;328;100
1278734838026174;326;100
1278734871277828;326;100
1278734904596289;327;100
1278734937923828;326;100
1278734971344174;326;100
1278735004570443;326;100
1278735037901251;327;100
1278735071217789;0;0
1278735104581866;0;0
1278735137899366;0;0
1278735171193328;331;100
1278735204527366;329;100
1278735237844366;330;100
1278735271166751;329;100
1278735304524058;328;100
1278735337818558;330;100
1278735371140366;330;100
1278735404531520;328;100
1278735437787097;329;100
1278735471182250;329;100
1278735504473173;329;100
1278735537760327;328;100
1278735571080866;330;100
1278735604409558;330;100
1278735637732366;330;100
1278735671056904;330;100
1278735704387058;330;100
1278735737706135;329;100
1278735771025442;330;100
1278735804353750;330;100
1278735837680366;330;100
1278735871005019;330;100
1278735904325942;329;100
1278735937726827;329;100
1278735971065096;331;100
1278736004299365;330;100
1278736037642712;330;100
1278736070945750;329;100
1278736104275173;330;100
1278736137599211;329;100
1278736171007019;0;0
1278736204245250;0;0
1278736237575019;0;0
1278736270896634;330;100
1278736304229134;331;100
1278736337539288;332;100
1278736370869134;330;100
1278736404228134;329;100
1278736437515557;328;100
1278736470849480;330;100
1278736504188865;328;100
1278736537486288;330;100
1278736570811596;329;100
1278736604135365;329;100
1278736637527865;330;100
1278736670822250;328;100
1278736704111365;330;100
1278736737453634;330;100
1278736770870673;328;100
1278736804083403;328;100
1278736837417788;328;100
1278736870739326;329;100
1278736904058788;330;100
1278736937380211;329;100
1278736970711519;329;100
1278737004025057;330;100
1278737037352634;329;100
1278737070675980;330;100
1278737104003942;329;100
1278737137321788;329;100
1278737170649211;328;100
1278737203970941;329;100
1278737237298018;329;100
1278737270621557;0;0
1278737303951172;0;0
1278737337269480;0;0
1278737370597903;332;100
1278737403921595;332;100
1278737437255672;333;100
1278737470577249;333;100
1278737503896287;334;100
1278737537216249;332;100
1278737570545903;334;100
1278737603866749;332;100
1278737637209980;332;100
1278737670511672;333;100
1278737703842057;331;100
1278737737161980;332;100
1278737770512672;332;100
1278737803809326;332;100
1278737837139172;334;100
1278737870463826;332;100
1278737903777018;333;100
1278737937102710;333;100
1278737970437326;332;100
1278738003760133;332;100
1278738037078172;333;100
1278738070501787;332;100
1278738103731633;334;100
1278738137054787;333;100
1278738170374595;333;100
1278738203720172;333;100
1278738237034941;333;100
1278738270347633;333;100
1278738303684941;333;100
1278738336997287;332;100
1278738370323748;0;0
1278738403649941;0;0
1278738436969787;0;0
1278738470326671;334;100
1278738503620633;334;100
1278738536944556;332;100
1278738570269094;333;100
1278738603595902;333;100
1278738636914171;332;100
1278738670237094;332;100
1278738703566863;333;100
1278738736889633;331;100
1278738770227325;332;100
1278738803539710;332;100
1278738836871786;331;100
1278738870192979;333;100
1278738903522979;333;100
1278738936933017;333;100
1278738970162402;334;100
1278739003484902;333;100
1278739036810863;331;100
1278739070138517;333;100
1278739103457209;333;100
1278739136780479;332;100
1278739170106055;333;100
1278739203430671;333;100
1278739236771363;332;100
1278739270080863;333;100
1278739303426709;332;100
1278739336738017;334;100
1278739370060286;332;100
1278739403375478;332;100
1278739436707863;332;100
1278739470111940;0;0
1278739503358940;0;0
1278739536680901;0;0
1278739570006747;333;100
1278739603324017;332;100
1278739636653863;333;100
1278739669970478;333;100
1278739703298094;332;100
1278739736620978;332;100
1278739769942709;333;100
1278739803268709;333;100
1278739836588863;332;100
1278739869930901;333;100
1278739903236016;332;100
1278739936564555;333;100
1278739969899709;332;100
1278740003213132;333;100
1278740036540824;333;100
1278740069861516;333;100
1278740103195209;334;100
1278740136506132;331;100
1278740169880055;334;100
1278740203159555;333;100
1278740236483862;333;100
1278740269811209;331;100
1278740303134785;332;100
1278740336453978;332;100
1278740369797478;332;100
1278740403113401;333;100
1278740436432670;332;100
1278740469755324;333;100
